latitude,longitude,altitude,geometry,RMC,site,drive,sol,easting,northing,elev_geoid,lon,lat,roll,pitch,yaw,yaw_rad,tilt,dist_m,dist_total_m,dist_km,dist_mi,drive_type
-4.589467,137.441633,-4500.971,Point,2_0,2,0,3,8146811.223,-272039.268,-4500.971,137.441633,-4.589467,-2.42,-3.62,111.52,1.94637,4.35,0,0,0,0,final
-4.589465,137.441734,-4501.12,Point,3_78,3,78,16,8146817.21,-272039.15,-4501.12,137.441734,-4.589465,-1.33,5.41,-132.02,-2.30426,5.57,7.01,7.01,0.01,0,final
-4.589401,137.441686,-4501.386,Point,3_100,3,100,21,8146814.363,-272035.346,-4501.386,137.441686,-4.58940083,-2.91,4.66,-164.69,-2.87437,5.49,4.9,11.91,0.01,0.01,final
-4.589403,137.441893,-4502.364,Point,3_260,3,260,22,8146826.607,-272035.482,-4502.364,137.4418925,-4.58940312,-1.28,-4.29,64.62,1.12778,4.48,15.14,27.04,0.03,0.02,final
-4.589447,137.442181,-4502.611,Point,3_372,3,372,24,8146843.725,-272038.08,-4502.611,137.4421813,-4.58944695,-1.37,-1.65,116.5,2.03331,2.14,21.51,48.55,0.05,0.03,final
-4.589749,137.442476,-4503.026,Point,3_530,3,530,26,8146861.191,-272056.004,-4503.026,137.442476,-4.58974934,0.25,-1.39,45.23,0.78933,1.41,29.79,78.34,0.08,0.05,final
-4.590121,137.442894,-4503.559,Point,4_0,4,0,29,8146885.959,-272078.049,-4503.559,137.4428938,-4.59012126,-2.35,2.95,-120.22,-2.09821,3.77,30.56,108.9,0.11,0.07,final
-4.590243,137.443302,-4504.605,Point,4_404,4,404,38,8146910.129,-272085.295,-4504.605,137.4433016,-4.5902435,-3.11,-0.27,90.57,1.58074,3.12,32.35,141.25,0.14,0.09,final
-4.590318,137.443663,-4504.758,Point,4_468,4,468,39,8146931.566,-272089.74,-4504.758,137.4436633,-4.59031849,-6.18,2.21,85.53,1.49282,6.56,21.7,162.94,0.16,0.1,final
-4.590036,137.444178,-4504.468,Point,4_916,4,916,40,8146962.057,-272073.023,-4504.468,137.4441777,-4.59003646,0.86,0,89.25,1.55764,0.86,37.22,200.16,0.2,0.12,final
-4.589847,137.444581,-4504.953,Point,4_1238,4,1238,41,8146985.961,-272061.77,-4504.953,137.4445809,-4.58984662,-1.78,-0.96,89.25,1.55763,2.02,26.89,227.05,0.23,0.14,final
-4.590042,137.445051,-4507.215,Point,4_1632,4,1632,42,8147013.818,-272073.33,-4507.215,137.4450509,-4.59004164,-1.93,-3.78,109.8,1.91638,4.25,32.02,259.07,0.26,0.16,final
-4.590476,137.445311,-4507.872,Point,4_2002,4,2002,43,8147029.205,-272099.09,-4507.872,137.4453105,-4.59047623,-0.91,-3.45,82.03,1.43166,3.57,30,289.06,0.29,0.18,final
-4.590435,137.445348,-4508.077,Point,4_2100,4,2100,45,8147031.41,-272096.65,-4508.077,137.4453477,-4.59043507,-3.63,-1.45,124.34,2.17011,3.91,4.45,293.52,0.29,0.18,final
-4.5903,137.446,-4510.37,Point,4_2644,4,2644,48,8147070.072,-272088.666,-4510.37,137.4459999,-4.59030037,-3.26,2.03,171.29,2.98962,3.84,41.73,335.24,0.34,0.21,final
-4.590305,137.446506,-4512.089,Point,4_2778,4,2778,49,8147100.09,-272088.967,-4512.089,137.4465064,-4.59030545,-4.36,-2.64,89.2,1.55684,5.1,30.74,365.98,0.37,0.23,final
-4.590176,137.447305,-4515.546,Point,4_2956,4,2956,50,8147147.398,-272081.279,-4515.546,137.4473045,-4.59017575,1.11,-3.7,45.22,0.78932,3.86,48.9,414.88,0.41,0.26,final
-4.590062,137.4479,-4516.588,Point,4_3200,4,3200,52,8147182.713,-272074.529,-4516.588,137.4479003,-4.59006187,-2.54,0.79,99.75,1.74096,2.65,36.32,451.2,0.45,0.28,final
-4.590065,137.44794,-4516.557,Point,4_3232,4,3232,53,8147185.084,-272074.732,-4516.557,137.4479403,-4.5900653,-3.87,1.95,81.42,1.421,4.34,2.09,453.3,0.45,0.28,final
